 ' データ利用量 ' , ' docomo ウルトラデータパック ' , ' au auフラットプラン ' , ' SoftBank ウルトラギガモンスター＋ ' 
 ' 20GB ' , ' 7280円 (税込7862円) ' , ' 6000円 (税込6480円) ' , ' - ' 
 ' 25GB （Netflixパック） ' , ' - ' , ' 7000円 (税込7560円) ' , ' - ' 
 ' 30GB ' , ' 9280円 (税込10022円) ' , ' 8000円 (税込8640円) ' , ' - ' 
 ' 50GBプラス （動画SNS放題） ' , ' - ' , ' - ' , ' 7480円 (税込8078円) ' 
 ' データ利用量 ' , ' docomo ベーシックパック ' , ' au auピタットプラン ' , ' SoftBank ミニモンスター ' 
 ' ～1GB ' , ' 4180円 (税込4514円) ' , ' 2980円 (税込3218円) ' , ' 3980円 (税込4298円) ' 
 ' ～2GB ' , ' 5280円 (税込5702円) ' , ' 3980円 (税込4298円) ' , ' 5980円 (税込6458円) ' 
 ' ～3GB ' , ' - ' , ' 4980円 (税込5378円) ' , ' - ' 
 ' ～5GB ' , ' 6280円 (税込6782円) ' , ' 5980円 (税込6458円) ' , ' 7480円 (税込8078円) ' 
 ' ～20GB ' , ' 8280円 (税込8942円) ' , ' 6980円 (税込7538円) ' , ' - ' 
 ' ～50GB ' , ' - ' , ' - ' , ' 8480円 (税込9158円) ' 
 ' 比較項目 ' , ' docomo ' , ' au ' , ' SoftBank ' 
 ' サービス名 ' , ' 下取りプログラム ' , ' iPhone交換プログラム ' , ' 下取りプログラム ' 
 ' 下取り額 （iPhone Xの場合） ' , ' 64000円（正常品） 19200円（破損品） ' , ' 63720円（正常品） 19440円（破損品） ' , ' 63600円（正常品） 19080円（破損品） ' 
 ' 還元方法 ' , ' ポイント ' , ' ポイント ' , ' 月額料金割引 ' 
 ' 購入対象iPhone ' , ' 全機種 ' , ' iPhone 7*iPhone XS Max ' , ' iPhone 5*iPhone XS Max ' 
 ' 下取り対象iPhone ' , ' iPhone 5c*iPhone X ' , ' iPhone 3G*iPhone X ' , ' iPhone 3G*iPhone X ' 
 ' 比較項目 ' , ' docomo ' , ' au ' , ' SoftBank ' 
 ' サービス名 ' , ' 機種変更応援プログラム プラス ' , ' アップグレードプログラム EX（a） ' , ' 機種変更先取りプログラム ' 
 ' 利用料金（月額） ' , ' 0円 ' , ' 0円 ※390円を割引中 ' , ' 300円 ' 
 ' 前倒し手数料 ' , ' - ' , ' - ' , ' 13か月目以降 2000円 19か月目以降 0円 ' 
 ' 還元方法 ' , ' ポイント （最大60000ポイント） ' , ' 旧機種残債の支払い不要 （最大半額） ' , ' 旧機種残債分の割引 （最大7か月分） ' 
 ' 対象iPhone ' , ' iPhone 8*iPhone X ' , ' iPhone SE*iPhone XS Max ' , ' iPhone SE*iPhone X ' 
 ' 比較項目 ' , ' docomo ' , ' au ' , ' SoftBank ' 
 ' サービス名 ' , ' ドコモ光セット割 ' , ' auスマートバリュー ' , ' おうち割 光セット ' 
 ' 対象固定通信サービス ' , ' ドコモが提供する光インターネットサービス ' , ' auひかり、JCOMなど ' , ' SoftBank Air、SoftBank 光など ' 
 ' 割引額 （ひとりの場合の最大額） ' , ' 月額最大1600円割引 ' , ' 月額最大1000円割引 ' , ' 月額最大1000円割引 ' 
